States/UTs,Rice,Wheat,Atta,Gram Dal,Tur Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk,Groundnut Oil,Mustard Oil,Vanaspati,Soya Oil,Sunflower Oil,Palm Oil,Gur,Tea Loose,Salt,Potato,Onion,Tomato,Date,price_type
Average Price,42.01,29.99,35.32,80.18,144.67,116.76,113.07,93.29,43.53,58.15,193.06,140.55,129.14,127.74,127.81,102.96,52.83,280.37,22.04,24.37,33.54,42.05,2023-09-11,retail
Maximum Price,65.0,59.0,67.0,133.0,188.0,166.0,173.0,147.0,70.0,80.0,270.0,258.0,220.0,200.0,227.0,198.0,143.0,558.0,34.0,60.0,65.0,140.0,2023-09-11,retail
Minimum Price,26.0,21.0,26.0,54.0,75.0,70.0,80.0,70.0,36.0,40.0,125.0,110.0,93.0,97.0,107.0,83.0,35.0,155.0,9.0,11.0,14.0,12.0,2023-09-11,retail
Modal Price,40.0,26.0,35.0,80.0,146.67,110.0,120.0,90.0,42.0,60.0,200.0,140.0,130.0,120.0,120.0,100.0,50.0,300.0,28.0,20.0,30.0,40.0,2023-09-11,retail
Average Price,42.26,29.96,35.23,80.65,145.53,117.12,113.64,93.45,43.57,58.2,192.53,140.03,128.89,126.95,127.56,102.63,52.98,279.81,22.14,24.6,33.53,40.46,2023-09-12,retail
Maximum Price,65.0,59.0,67.0,133.0,188.0,166.0,173.0,147.0,70.0,80.0,270.0,258.0,220.0,200.0,244.0,198.0,143.0,558.0,35.0,60.0,65.0,123.0,2023-09-12,retail
Minimum Price,27.0,21.0,26.0,54.0,75.0,70.0,80.0,70.0,36.0,40.0,125.0,108.0,93.0,96.0,107.0,83.0,35.0,155.0,9.0,13.0,14.0,12.0,2023-09-12,retail
Modal Price,40.0,26.0,30.0,80.0,150.0,110.0,120.0,90.0,42.0,60.0,200.0,140.0,125.0,120.0,120.0,100.0,50.0,270.0,28.0,20.0,30.0,40.0,2023-09-12,retail
Average Price,42.18,30.08,35.35,80.43,145.67,117.17,113.6,93.39,43.61,58.08,191.98,140.42,129.03,126.72,127.33,102.56,53.07,278.41,22.16,24.46,33.39,39.11,2023-09-13,retail
Maximum Price,65.0,59.0,70.0,133.0,188.0,168.0,173.0,147.0,70.0,80.0,260.0,258.0,220.0,200.0,244.0,198.0,143.0,558.0,35.0,60.0,65.0,120.0,2023-09-13,retail
Minimum Price,26.0,21.0,26.0,54.0,75.0,70.0,80.0,70.0,35.0,40.0,123.0,108.0,93.0,96.0,100.0,83.0,35.0,155.0,9.0,11.0,14.0,12.0,2023-09-13,retail
Modal Price,40.0,26.0,30.0,80.0,153.0,110.0,120.0,90.0,42.0,60.0,200.0,140.0,130.0,120.0,120.0,100.0,50.0,235.0,28.0,20.0,30.0,40.0,2023-09-13,retail
Average Price,42.11,29.91,35.24,80.81,145.67,116.91,113.48,93.54,43.66,58.22,193.06,139.81,128.9,127.08,127.69,102.39,53.05,279.31,22.14,24.45,33.43,38.71,2023-09-14,retail
Maximum Price,65.0,51.0,70.0,133.0,196.0,168.0,173.0,136.0,70.0,80.0,257.0,258.0,220.0,200.0,244.0,198.0,143.0,558.0,36.0,60.0,65.0,123.0,2023-09-14,retail
Minimum Price,23.0,21.0,26.0,55.0,75.0,70.0,80.0,70.0,36.0,40.0,126.0,108.0,93.0,96.0,105.0,83.0,35.0,155.0,9.0,11.0,14.0,11.0,2023-09-14,retail
Modal Price,40.0,26.0,40.0,80.0,120.0,110.0,120.0,90.0,42.0,60.0,200.0,140.0,120.0,120.0,120.0,100.0,50.0,200.0,28.0,20.0,30.0,40.0,2023-09-14,retail
Average Price,42.13,29.96,35.3,80.57,146.22,117.4,113.54,93.45,43.62,58.07,192.73,140.12,129.0,127.54,127.68,102.45,52.95,278.77,22.12,24.42,33.5,37.72,2023-09-15,retail
Maximum Price,65.0,59.0,70.0,133.0,189.0,168.0,157.0,147.0,70.0,80.0,257.0,258.0,220.0,200.0,245.0,198.0,143.0,558.0,32.0,60.0,65.0,125.0,2023-09-15,retail
Minimum Price,23.0,21.0,26.0,58.0,75.0,70.0,80.0,70.0,37.0,40.0,125.0,108.0,93.0,96.0,105.0,83.0,35.0,155.0,9.0,11.0,14.0,11.0,2023-09-15,retail
Modal Price,40.0,28.0,30.0,80.0,150.0,110.0,115.0,90.0,42.0,60.0,200.0,140.0,120.0,120.0,120.0,100.0,50.0,250.0,28.0,20.0,30.0,40.0,2023-09-15,retail
Average Price,42.22,30.0,35.56,80.89,148.03,117.77,114.17,93.51,43.55,58.06,192.16,139.84,128.38,125.13,127.19,102.07,52.64,276.31,22.12,24.32,33.53,36.15,2023-09-16,retail
Maximum Price,65.0,59.0,67.0,133.0,189.0,169.0,173.0,147.0,70.0,80.0,257.0,258.0,220.0,200.0,244.0,198.0,143.0,558.0,33.0,60.0,65.0,123.0,2023-09-16,retail
Minimum Price,26.0,21.0,27.0,54.0,75.0,70.0,80.0,70.0,36.0,40.0,125.0,110.0,93.0,96.0,104.0,83.0,35.0,155.0,9.0,11.0,14.0,9.0,2023-09-16,retail
Modal Price,40.0,40.0,30.0,80.0,150.0,110.0,120.0,90.0,42.0,60.0,200.0,140.0,120.0,118.0,120.0,100.0,50.0,200.0,28.0,20.0,35.0,40.0,2023-09-16,retail
Average Price,42.44,29.94,35.53,80.1,148.5,116.91,113.51,93.28,43.19,57.29,192.75,139.04,125.98,124.35,126.77,101.41,51.56,271.29,22.74,23.55,32.54,32.8,2023-09-17,retail
Maximum Price,65.0,51.0,67.0,133.0,188.0,169.0,158.0,147.0,60.0,80.0,260.0,235.0,220.0,197.0,244.0,170.0,143.0,558.0,30.0,60.0,63.0,123.0,2023-09-17,retail
Minimum Price,26.0,21.0,27.0,54.0,75.0,70.0,80.0,70.0,36.0,40.0,140.0,110.0,93.0,96.0,104.0,83.0,35.0,155.0,9.0,11.0,14.0,9.0,2023-09-17,retail
Modal Price,40.0,28.0,30.0,80.0,155.0,110.0,110.0,90.0,42.0,60.0,200.0,140.0,130.0,118.0,132.0,110.0,50.0,230.0,28.0,20.0,35.0,20.0,2023-09-17,retail
Average Price,42.13,30.09,35.39,81.31,147.2,117.61,114.11,93.51,43.73,58.32,193.83,139.73,128.22,126.03,127.56,101.75,52.97,276.15,22.22,24.12,33.43,36.06,2023-09-18,retail
Maximum Price,65.0,51.0,70.0,133.0,189.0,169.0,173.0,147.0,70.0,80.0,257.0,248.0,220.0,197.0,244.0,198.0,143.0,558.0,36.0,60.0,63.0,120.0,2023-09-18,retail
Minimum Price,26.0,21.0,27.0,54.0,75.0,70.0,80.0,70.0,37.0,40.0,125.0,108.0,93.0,95.0,100.0,83.0,35.0,155.0,9.0,11.0,14.0,9.0,2023-09-18,retail
Modal Price,40.0,28.0,30.0,80.0,160.0,110.0,120.0,90.0,42.0,60.0,200.0,140.0,130.0,120.0,125.0,100.0,50.0,215.0,28.0,20.0,30.0,40.0,2023-09-18,retail
Average Price,42.41,29.77,35.32,81.42,147.02,117.85,114.41,93.99,43.78,58.85,192.05,139.26,128.79,125.56,128.1,102.29,53.53,278.71,22.13,24.52,33.6,35.95,2023-09-19,retail
Maximum Price,65.0,59.0,70.0,133.0,190.0,169.0,173.0,147.0,70.0,80.0,257.0,258.0,220.0,200.0,244.0,198.0,143.0,558.0,36.0,60.0,63.0,120.0,2023-09-19,retail
Minimum Price,23.0,21.0,27.0,54.0,75.0,70.0,80.0,70.0,36.0,40.0,123.0,110.0,93.0,96.0,104.0,83.0,35.0,155.0,9.0,11.0,14.0,9.0,2023-09-19,retail
Modal Price,40.0,40.0,30.0,80.0,160.0,110.0,120.0,100.0,42.0,60.0,200.0,130.0,120.0,125.0,150.0,100.0,50.0,230.0,28.0,20.0,30.0,40.0,2023-09-19,retail
Average Price,42.33,29.69,35.11,81.14,146.6,117.71,114.35,93.92,43.72,58.6,192.35,139.3,128.9,125.82,127.86,102.39,53.23,279.06,22.09,24.36,33.38,33.29,2023-09-20,retail
Maximum Price,65.0,59.0,70.0,133.0,190.0,171.0,173.0,147.0,70.0,80.0,257.0,258.0,220.0,200.0,244.0,198.0,143.0,558.0,31.0,60.0,65.0,80.0,2023-09-20,retail
