States/UTs,Rice,Wheat,Atta,Gram Dal,Tur Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk,Groundnut Oil,Mustard Oil,Vanaspati,Soya Oil,Sunflower Oil,Palm Oil,Gur,Tea Loose,Salt,Potato,Onion,Tomato,Date,price_type
Andaman and Nicobar,41.33,,66.0,84.67,152.67,141.67,128.0,99.33,53.0,70.67,236.5,192.67,198.33,,140.67,128.0,76.67,308.33,20.33,46.67,56.67,74.33,2023-09-11,retail
Andhra Pradesh,50.0,40.25,44.75,77.75,160.0,121.25,115.5,98.25,43.5,57.0,179.25,196.25,114.0,175.0,121.0,101.25,57.75,291.25,20.5,30.75,30.75,27.75,2023-09-11,retail
Arunachal pradesh,38.33,42.0,39.33,96.0,145.67,125.0,125.0,105.67,51.5,73.0,,143.5,120.0,132.5,200.0,,70.0,,16.5,25.0,42.5,72.5,2023-09-11,retail
Assam,41.78,31.45,36.67,78.81,134.73,107.88,110.81,91.0,45.0,69.81,200.17,148.22,139.62,139.19,154.95,116.83,57.22,258.65,13.41,22.04,35.93,70.17,2023-09-11,retail
Bihar,38.28,26.14,32.75,75.17,138.47,112.31,108.42,80.72,43.4,55.29,190.76,136.71,125.94,129.91,166.93,112.17,48.63,276.77,22.51,19.43,31.46,48.17,2023-09-11,retail
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,43.0,58.0,190.0,154.0,130.0,136.0,156.0,112.0,51.0,275.0,27.0,25.0,45.0,36.0,2023-09-11,retail
Chhattisgarh,37.44,33.22,36.56,79.0,135.89,103.44,107.22,87.44,41.88,58.86,199.88,150.88,129.38,133.5,151.43,120.38,47.5,293.13,22.88,23.5,30.63,34.38,2023-09-11,retail
Delhi,39.0,28.0,31.0,85.0,167.0,132.0,118.0,91.0,42.0,53.0,218.0,145.0,129.0,128.0,143.0,101.0,60.0,247.0,26.0,25.0,38.0,33.0,2023-09-11,retail
DNH and DD,47.67,40.0,44.67,89.33,162.67,131.0,125.67,95.33,42.33,64.0,209.0,152.0,139.0,132.33,131.67,100.33,68.33,351.0,27.0,20.33,34.0,25.0,2023-09-11,retail
Goa,47.0,43.5,42.0,88.0,168.5,133.5,123.5,97.5,43.0,57.5,221.0,161.5,144.0,150.5,121.5,99.0,58.5,315.5,24.5,34.0,37.5,29.0,2023-09-11,retail
Gujarat,39.4,33.0,38.4,75.6,133.8,113.0,105.2,91.6,42.2,58.6,192.4,139.4,133.0,136.8,126.2,110.0,51.6,284.8,14.25,26.4,27.0,55.6,2023-09-11,retail
Haryana,40.0,26.0,33.0,69.75,129.75,105.5,102.0,96.75,42.5,58.75,185.0,142.5,132.25,128.25,158.25,113.5,46.25,233.0,25.75,16.75,25.25,62.5,2023-09-11,retail
