States/UTs,Rice,Wheat,Atta,Gram Dal,Tur Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk,Groundnut Oil,Mustard Oil,Vanaspati,Soya Oil,Sunflower Oil,Palm Oil,Gur,Tea Loose,Salt,Potato,Onion,Tomato,Date,price_type
Average Price,33.2102,27.160100000000003,30.296599999999998,65.1459,101.2272,97.7826,91.8735,87.5839,38.6651,49.5837,178.8501,165.3504,140.0738,146.01670000000001,167.6932,124.10340000000001,43.443400000000004,248.03869999999998,16.423099999999998,21.6681,19.7375,25.805500000000002,2022-08-30,wholesale
Maximum Price,53.0,40.0,62.0,105.0,127.0,127.0,119.5,112.0,46.0,70.0,240.0,220.0,200.0,195.0,227.11,175.0,90.0,519.34,26.0,45.0,52.0,60.0,2022-08-30,wholesale
Minimum Price,18.0,16.0,15.5,53.0,68.0,70.0,72.0,64.5,32.0,30.0,150.0,135.0,90.0,110.0,127.0,85.0,30.0,125.0,6.0,8.0,7.5,5.75,2022-08-30,wholesale
Modal Price,30.0,32.0,30.0,60.0,100.0,95.0,90.0,90.0,38.0,50.0,182.5,160.0,140.0,140.0,180.0,125.0,40.0,280.0,10.0,18.0,18.0,25.0,2022-08-30,wholesale
Average Price,32.9724,26.8997,30.3046,65.1962,101.5072,97.59649999999999,91.9804,87.65360000000001,38.838699999999996,49.9957,179.31189999999998,164.912,140.2465,146.1843,167.46919999999997,123.4583,43.461400000000005,248.87259999999998,16.4919,21.8078,20.1427,26.7289,2022-08-31,wholesale
Maximum Price,53.0,38.0,62.0,105.0,122.0,127.0,119.5,112.0,46.0,70.0,240.0,219.0,200.0,198.5,227.11,175.0,90.0,519.34,26.0,45.0,52.0,60.0,2022-08-31,wholesale
Minimum Price,18.0,16.0,15.5,54.0,68.0,70.0,72.0,64.5,32.0,30.0,150.0,135.0,90.0,110.0,129.0,85.7,30.0,120.0,6.0,8.0,7.2,6.0,2022-08-31,wholesale
Modal Price,30.0,27.0,30.0,60.0,105.0,95.0,92.0,90.0,38.5,50.0,180.0,160.0,140.0,140.0,180.0,125.0,40.0,280.0,10.0,18.0,18.0,40.0,2022-08-31,wholesale
Average Price,33.2123,27.2323,30.5456,65.2371,101.229,97.6632,91.98819999999999,87.7411,38.814899999999994,49.805699999999995,178.69490000000002,164.2352,140.6067,145.7369,167.05360000000002,123.4261,43.8225,249.1463,16.3226,21.9309,19.8923,26.4192,2022-09-01,wholesale
Maximum Price,53.0,40.0,62.0,105.0,122.0,127.0,119.5,112.0,46.0,70.0,240.0,219.0,200.0,199.5,227.11,176.0,90.0,519.34,26.0,45.0,52.0,60.0,2022-09-01,wholesale
Minimum Price,18.0,16.0,15.5,55.0,68.0,70.0,72.0,64.5,32.0,30.0,150.0,135.0,90.0,110.0,127.0,85.7,31.0,120.0,6.0,8.0,7.2,6.0,2022-09-01,wholesale
Modal Price,30.0,32.0,30.0,60.0,100.0,95.0,90.0,90.0,38.0,50.0,180.0,160.0,135.0,140.0,180.0,130.0,41.0,280.0,10.0,18.0,19.0,20.0,2022-09-01,wholesale
Average Price,33.2622,27.346,30.635900000000003,65.1601,101.4099,97.59479999999999,92.2474,87.8061,38.795,49.868900000000004,179.0864,164.8157,140.0779,145.73940000000002,166.4531,122.4831,43.9583,248.9543,16.4848,21.9777,19.7053,26.5583,2022-09-02,wholesale
Maximum Price,53.0,40.0,62.0,105.0,122.0,124.0,119.5,112.0,46.0,70.0,240.0,220.0,200.0,199.5,227.11,176.0,90.0,519.34,26.0,45.0,41.6,60.0,2022-09-02,wholesale
Minimum Price,18.0,15.0,21.0,55.0,68.0,70.0,72.0,64.5,32.0,30.0,150.0,135.0,98.0,110.0,127.0,85.0,31.0,120.0,6.0,8.0,7.1,7.0,2022-09-02,wholesale
Modal Price,30.0,32.0,30.0,65.0,100.0,95.0,90.0,90.0,38.0,50.0,185.0,160.0,135.0,140.0,175.0,130.0,42.0,280.0,10.0,18.0,19.0,20.0,2022-09-02,wholesale
Average Price,33.419000000000004,27.163400000000003,30.1698,64.905,101.1348,97.5827,91.8676,87.58930000000001,38.6915,49.5281,178.77560000000003,164.2664,139.6534,145.4613,166.16830000000002,122.0272,43.547799999999995,250.81259999999997,16.6079,21.7623,19.366400000000002,26.3503,2022-09-03,wholesale
Maximum Price,53.0,40.0,62.0,105.0,122.0,124.0,119.5,112.0,46.0,70.0,240.0,217.58,200.0,199.5,227.11,171.42,90.0,519.34,26.0,42.0,35.0,57.0,2022-09-03,wholesale
Minimum Price,18.0,15.0,21.0,55.0,68.0,70.0,72.0,64.5,32.0,30.0,150.0,130.6,98.0,110.0,126.5,85.0,31.0,125.0,6.0,8.0,7.1,7.0,2022-09-03,wholesale
Modal Price,30.0,27.0,30.0,65.0,100.0,95.0,90.0,90.0,38.0,50.0,185.0,160.0,135.0,140.0,180.0,125.0,42.0,280.0,10.0,18.0,18.0,20.0,2022-09-03,wholesale
Average Price,33.134699999999995,26.5482,29.675,64.0761,100.6311,96.59219999999999,91.5084,87.064,38.4363,49.0009,178.0716,164.36520000000002,136.6575,145.6164,166.567,122.6265,42.886,250.9375,17.2188,20.917600000000004,18.9882,25.784000000000002,2022-09-04,wholesale
Maximum Price,53.0,38.0,54.0,80.0,121.0,124.0,119.5,112.0,44.0,70.0,236.0,210.0,180.0,199.5,203.3,171.42,90.0,500.0,26.0,42.0,35.0,57.0,2022-09-04,wholesale
Minimum Price,20.0,15.0,21.0,55.0,68.0,70.0,72.0,64.5,32.0,30.0,150.0,140.0,98.0,110.0,130.0,85.7,31.0,125.0,6.0,8.0,7.1,8.0,2022-09-04,wholesale
Modal Price,30.0,32.0,30.0,65.0,100.0,95.0,90.0,90.0,38.0,50.0,185.0,160.0,135.0,140.0,180.0,122.5,42.0,280.0,20.0,18.0,16.0,25.0,2022-09-04,wholesale
Average Price,33.2755,27.2991,30.5405,65.0391,101.4469,97.76559999999999,92.1794,87.82690000000001,38.8622,49.7566,179.1419,164.0796,139.5214,145.054,166.30349999999999,122.2057,44.1301,249.2051,16.4864,22.391599999999997,19.673199999999998,28.5165,2022-09-05,wholesale
Maximum Price,53.0,38.0,62.0,105.0,122.0,124.0,119.5,112.0,46.0,70.0,240.0,220.0,200.0,194.14,227.11,176.0,90.0,519.34,26.0,45.0,40.0,60.0,2022-09-05,wholesale
Minimum Price,18.0,15.0,15.5,55.0,68.0,70.0,72.0,64.5,32.0,30.0,150.0,132.0,90.0,110.0,126.8,85.7,31.0,120.0,6.0,8.0,7.1,10.0,2022-09-05,wholesale
Modal Price,30.0,32.0,30.0,65.0,100.0,95.0,90.0,82.0,38.0,50.0,185.0,160.0,135.0,140.0,180.0,120.0,42.0,280.0,10.0,18.0,20.0,25.0,2022-09-05,wholesale
Average Price,33.4223,27.334400000000002,30.915399999999998,65.1895,101.666,98.07610000000001,92.2587,87.91969999999999,38.8828,49.5831,178.93880000000001,164.1914,139.9808,144.6953,165.09240000000003,120.57879999999999,44.2571,248.4484,16.4475,22.534000000000002,19.8747,29.4813,2022-09-06,wholesale
Maximum Price,54.0,40.0,62.0,105.0,122.0,124.0,119.5,112.0,46.0,70.0,236.0,219.0,200.0,194.14,227.11,176.0,90.0,519.34,26.0,45.0,40.0,60.0,2022-09-06,wholesale
Minimum Price,18.0,14.0,15.5,54.5,68.0,70.0,72.0,64.5,32.0,30.0,150.0,132.0,90.0,110.0,126.8,85.7,31.0,120.0,6.0,8.0,7.25,10.0,2022-09-06,wholesale
Modal Price,30.0,32.0,30.0,65.0,100.0,95.0,90.0,86.0,38.0,50.0,182.5,160.0,135.0,140.0,180.0,120.0,42.0,280.0,10.0,18.0,20.0,40.0,2022-09-06,wholesale
Average Price,32.7365,26.884,30.5214,64.6567,100.8038,96.87200000000001,91.8529,87.40360000000001,38.9898,50.231700000000004,178.8732,164.18259999999998,138.6397,144.908,166.3509,121.80799999999999,43.4322,250.11900000000003,17.0701,21.7181,19.949,29.737800000000004,2022-09-07,wholesale
Maximum Price,53.0,38.0,62.0,95.0,121.0,130.0,119.5,112.0,46.0,70.0,240.0,220.0,200.0,194.14,227.11,176.0,90.0,519.34,26.5,45.0,45.0,60.0,2022-09-07,wholesale
Minimum Price,18.0,14.0,15.5,54.0,68.0,70.0,72.0,64.5,32.0,30.0,150.0,126.0,98.0,110.0,126.8,85.0,31.0,120.0,6.4,8.0,7.5,10.0,2022-09-07,wholesale
Modal Price,30.0,32.0,30.0,62.0,100.0,95.0,90.0,82.0,38.0,50.0,180.0,160.0,150.0,140.0,180.0,120.0,42.0,280.0,20.0,19.0,18.333299999999998,40.0,2022-09-07,wholesale
Average Price,32.8705,26.898699999999998,30.227800000000002,64.6967,101.0416,96.7799,91.676,87.1584,38.9498,50.0648,178.3856,163.5568,138.38739999999999,144.7372,164.80630000000002,120.17049999999999,43.6158,249.5146,17.0508,21.349,19.8405,29.83,2022-09-08,wholesale
Maximum Price,54.0,38.0,54.0,95.0,121.0,124.0,119.5,112.0,46.0,70.0,240.0,210.0,200.0,194.14,227.11,176.0,90.0,519.34,26.5,42.0,40.0,60.0,2022-09-08,wholesale
Minimum Price,18.0,13.0,15.5,53.0,70.0,70.0,72.0,64.5,32.0,30.0,150.0,125.5,98.0,110.0,126.5,85.0,31.0,120.0,6.4,8.0,7.5,9.0,2022-09-08,wholesale
Modal Price,30.0,32.0,30.0,63.5,100.0,95.0,90.0,82.0,38.0,50.0,180.0,160.0,150.0,140.0,180.0,120.0,42.0,280.0,20.0,20.0,17.5,40.0,2022-09-08,wholesale
Average Price,32.8284,26.9149,30.515700000000002,64.782,100.9998,96.9337,91.7349,87.12700000000001,39.0588,50.311499999999995,179.10569999999998,164.2689,138.4063,144.8763,165.7796,120.5598,43.741499999999995,249.70069999999998,17.0584,21.5094,20.1253,30.5744,2022-09-09,wholesale
Maximum Price,54.0,38.0,62.0,95.0,121.0,130.0,119.5,112.0,46.0,70.0,240.0,217.58,200.0,194.14,227.11,176.0,90.0,519.34,26.5,45.0,45.0,60.0,2022-09-09,wholesale
Minimum Price,18.0,12.0,15.5,53.0,70.0,70.0,72.0,64.5,32.0,30.0,150.0,125.0,98.0,110.0,126.25,85.0,31.0,120.0,6.4,8.0,7.5,9.0,2022-09-09,wholesale
Modal Price,30.0,32.0,30.0,62.0,100.0,92.5,90.0,86.0,38.0,50.0,180.0,160.0,150.0,140.0,180.0,120.0,42.0,280.0,20.0,18.0,17.0,40.0,2022-09-09,wholesale
